fecha,valor
7/10/2017,22,75
7/11/2017,22,75
7/12/2017,22,75
7/13/2017,22,75
7/14/2017,22,75
7/15/2017,22,75
7/16/2017,22,75
7/17/2017,22,75
7/18/2017,22,75
7/19/2017,22,75
7/20/2017,22,75
7/21/2017,22,75
7/22/2017,22,75
7/23/2017,22,75
7/24/2017,22,75
7/25/2017,22,75
7/26/2017,22,75
7/27/2017,22,25
7/28/2017,22,25
7/29/2017,22,25
7/30/2017,22,25
7/31/2017,22,25
8/1/2017,22,25
8/2/2017,22,25
8/3/2017,22,25
8/4/2017,22,25
8/5/2017,22,25
8/6/2017,22,25
8/7/2017,22,25
8/8/2017,22,25
8/9/2017,22,25
8/10/2017,22,25
8/11/2017,22,25
8/12/2017,22,25
8/13/2017,22,25
8/14/2017,22,25
8/15/2017,22,25
8/16/2017,22,25
8/17/2017,22,25
8/18/2017,24,25
8/19/2017,24,25
8/20/2017,24,25
8/21/2017,24,25
8/22/2017,24,25
8/23/2017,24,25
8/24/2017,24,25
8/25/2017,24,25
8/26/2017,24,25
8/27/2017,24,25
8/28/2017,24,25
8/29/2017,24,25
8/30/2017,24,25
8/31/2017,24,25
9/1/2017,24,25
9/2/2017,24,25
9/3/2017,24,25
9/4/2017,24,25
9/5/2017,24,25
9/6/2017,25,50
9/7/2017,25,50
9/8/2017,25,50
9/9/2017,25,50
9/10/2017,25,50
9/11/2017,25,50
9/12/2017,25,50
9/13/2017,25,50
9/14/2017,25,50
9/15/2017,25,50
9/16/2017,25,50
9/17/2017,25,50
9/18/2017,25,50
9/19/2017,25,50
9/20/2017,25,50
9/21/2017,25,50
9/22/2017,25,50
9/23/2017,25,50
9/24/2017,25,50
9/25/2017,25,50
9/26/2017,25,50
9/27/2017,25,50
9/28/2017,25,50
9/29/2017,25,50
9/30/2017,25,50
10/1/2017,25,50
10/2/2017,25,50
10/3/2017,25,50
10/4/2017,25,50
10/5/2017,25,50
10/6/2017,25,50
10/7/2017,25,50
10/8/2017,25,50
10/9/2017,25,50
10/10/2017,25,50
10/11/2017,25,50
10/12/2017,25,50
10/13/2017,25,50
10/14/2017,25,50
10/15/2017,25,50
10/16/2017,25,50
10/17/2017,25,50
10/18/2017,25,50
10/19/2017,26,50
10/20/2017,26,50
10/21/2017,26,50
10/22/2017,26,50
10/23/2017,26,50
10/24/2017,26,50
10/25/2017,26,50
10/26/2017,26,50
10/27/2017,26,50
10/28/2017,26,50
10/29/2017,26,50
10/30/2017,26,50
10/31/2017,26,50
11/1/2017,26,50
11/2/2017,26,50
11/3/2017,26,50
11/4/2017,26,50
11/5/2017,26,50
11/6/2017,26,50
11/7/2017,26,50
11/8/2017,26,50
11/9/2017,26,50
11/10/2017,26,50
11/11/2017,26,50
11/12/2017,26,50
11/13/2017,26,50
11/14/2017,26,50
11/15/2017,26,50
11/16/2017,26,50
11/17/2017,26,50
11/18/2017,26,50
11/19/2017,26,50
11/20/2017,26,50
11/21/2017,26,50
11/22/2017,26,50
11/23/2017,26,50
11/24/2017,26,50
11/25/2017,26,50
11/26/2017,26,50
11/27/2017,26,50
11/28/2017,26,50
11/29/2017,26,50
11/30/2017,26,50
12/1/2017,26,50
12/2/2017,26,50
12/3/2017,26,50
12/4/2017,26,50
12/5/2017,26,50
12/6/2017,26,50
12/7/2017,26,50
12/8/2017,26,50
12/9/2017,26,50
12/10/2017,26,50
12/11/2017,26,50
12/12/2017,26,50
12/13/2017,26,50
12/14/2017,26,50
12/15/2017,26,50
12/16/2017,26,50
12/17/2017,26,50
12/18/2017,26,50
12/19/2017,26,50
12/20/2017,26,50
12/21/2017,26,50
12/22/2017,26,50
12/23/2017,26,50
12/24/2017,26,50
12/25/2017,26,50
12/26/2017,26,50
12/27/2017,26,50
12/28/2017,26,50
12/29/2017,26,50
12/30/2017,26,50
12/31/2017,26,50
1/1/2018,26,50
1/2/2018,26,50
1/3/2018,26,50
1/4/2018,26,50
1/5/2018,26,50
1/6/2018,26,50
1/7/2018,26,50
1/8/2018,26,50
1/9/2018,28,75
1/10/2018,28,75
1/11/2018,28,75
1/12/2018,28,75
1/13/2018,28,75
1/14/2018,28,75
